<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">16:10 (Native), Supports 4:3, 16:9, Auto&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Besaran (Zoom)</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">1.2:1&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Ukuran Gambar</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Maximum Image Size (width, cm) : 762&nbsp;&nbsp;</li>
<li>Minimum Image Size (width, cm) : 114&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Input</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">S-Video, Composite, Stereo 3.5mm Mini Jack input&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Output</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">Stereo 3.5mm Mini Jack output, VGA Monitor Output, VGA x 2&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Speaker</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">2W (1 x 2W)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Kesesuaian Video</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">SDTV (NTSC, PAL, SECAM, 480i, 576i), ED/HDTV (480p, 576p, 720p, 1080i, 1080p)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Daya / Power</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">100-240 Volts at 50-60 Hz&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Konsumsi Daya</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Power consumption (High, Watts) : 235&nbsp;&nbsp;</li>
<li>Power consumption (Max, Watts) : 260&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Dimensi</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">(W x D x H) : 284 x 235 x 70 mm&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Berat</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">2.17 Kg&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Kelengkapan Paket</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Projector with lamp&nbsp;&nbsp;</li>
<li>Power cord&nbsp;&nbsp;</li>
<li>VGA cable&nbsp;&nbsp;</li>
<li>Remote&nbsp;&nbsp;</li>
<li>Documentation&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Lain-lain</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Connectivity :
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>USB : USB Mini-B (for control &amp; firmware)&nbsp;&nbsp;</li>
<li>Control Interface : RS232C&nbsp;&nbsp;</li>
<li>HDMI : HDMI 1.4 x 1&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
</tbody>
</table>",6810000,0,0,0128,53,IDR,7,infokus-projector-in2124,INFOCUS Projector IN2124,"<p>XGA (1024 &times; 768), WUXGA (1920 x 1200), 3200 Lumens ANSI, (W x D x H) : 284 x 235 x 70 mm</p>","<table class=""spesifications"" cellspacing=""0"" cellpadding=""3"">
<tbody>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Sistem Projector</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">DLP Technology&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Resolusi Native</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">XGA (1024 &times; 768)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Maks. Resolusi</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">WUXGA (1920 x 1200)&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Brightness</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">3200 Lumens ANSI&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Kontras</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">4000:1&nbsp;</td>
</tr>
<tr>
<td style=""width: 230px; border-bottom: 1px solid #E2E2E2;"" valign=""top""><strong>Rasio Aspek</strong></td>
<td style=""border-bottom: 1px solid #E2E2E2;"" valign=""top"">4:3
<div>
<ul style=""margin: 0px 0px 0px 16px; padding: 0px;"">
<li>Aspect Ratio (Supported) : 4:3, 5:4, 16:9, 16:10&nbsp;&nbsp;</li>
</ul>
</div>
&nbsp;</td>
</tr>
<tr>
